"AgeDecade","term","estimate"
"0-9","Gendermale",-0.956961126847541
"0-9","Poverty",-0.135196235349793
"0-9","DirectChol",-2.86487553762816
"0-9","Pulse",0.0113823153007068
"0-9","BPSysAve",0.116483879018288
"10-19","Gendermale",-2.29601749902674
"10-19","Poverty",-0.257326953953297
"10-19","DirectChol",-6.92903562452692
"10-19","Pulse",-0.0406535762007638
"10-19","BPSysAve",0.199030370960102
"20-29","Gendermale",-2.99539314284739
"20-29","Poverty",-0.0877763759989494
"20-29","DirectChol",-6.94471892052284
"20-29","Pulse",0.0693397376033162
"20-29","BPSysAve",0.167587673865735
"30-39","Gendermale",-2.3149490072551
"30-39","Poverty",-0.399406908906357
"30-39","DirectChol",-6.41723830250647
"30-39","Pulse",0.112006392634359
"30-39","BPSysAve",0.101852253827569
"40-49","Gendermale",-1.68218944791351
"40-49","Poverty",0.0952462998585598
"40-49","DirectChol",-5.70714495536629
"40-49","Pulse",0.0276749659459544
"40-49","BPSysAve",0.102172249249739
"50-59","Gendermale",-1.35046580365216
"50-59","Poverty",-0.225763274315478
"50-59","DirectChol",-6.12337287749599
"50-59","Pulse",0.0487410331038933
"50-59","BPSysAve",0.0355428453133551
"60-69","Gendermale",-1.37201032944195
"60-69","Poverty",-0.264344465731627
"60-69","DirectChol",-5.87959748233963
"60-69","Pulse",0.00738026994427685
"60-69","BPSysAve",-0.00150805819243109
"70+","Gendermale",-1.7338047037618
"70+","Poverty",-0.167678398924932
"70+","DirectChol",-5.13721472883827
"70+","Pulse",0.0351660167836666
"70+","BPSysAve",-0.0246188078505811
